epoch,loss,ppl,accuracy
0, 5.48044, 239.95209,16.210
1, 3.80983, 45.14278,29.114
2, 3.27391, 26.41453,33.156
3, 3.00411, 20.16830,35.708
4, 2.82870, 16.92353,37.521
5, 2.66519, 14.37070,39.320
6, 2.46939, 11.81524,41.687
7, 2.28784, 9.85360,44.248
8, 2.11624, 8.29989,46.893
9, 1.94920, 7.02309,49.770
10, 1.78899, 5.98342,52.912
11, 1.63384, 5.12353,56.260
12, 1.48404, 4.41073,59.712
13, 1.34265, 3.82917,63.277
14, 1.21493, 3.37007,66.607
15, 1.09850, 2.99967,69.872
16, 0.99256, 2.69812,73.117
17, 0.89999, 2.45958,75.941
18, 0.81745, 2.26473,78.539
19, 0.74541, 2.10730,80.868
20, 0.68233, 1.97849,83.061
21, 0.62957, 1.87680,84.934
22, 0.58386, 1.79294,86.418
23, 0.54505, 1.72470,87.832
24, 0.50910, 1.66380,89.126
25, 0.48055, 1.61697,90.176
26, 0.45402, 1.57463,91.056
27, 0.43072, 1.53836,91.861
28, 0.41076, 1.50797,92.616
29, 0.39251, 1.48069,93.194
30, 0.37669, 1.45745,93.707
31, 0.36086, 1.43456,94.276
32, 0.34711, 1.41497,94.695
33, 0.33567, 1.39887,95.043
34, 0.32448, 1.38331,95.429
35, 0.31384, 1.36866,95.735
36, 0.30242, 1.35313,96.077
37, 0.29517, 1.34335,96.265
38, 0.28649, 1.33174,96.492
39, 0.27831, 1.32089,96.769
40, 0.27148, 1.31191,96.881
41, 0.26483, 1.30321,97.100
42, 0.25798, 1.29432,97.301
43, 0.25223, 1.28689,97.428
44, 0.24650, 1.27954,97.588
45, 0.24151, 1.27317,97.661
46, 0.23585, 1.26599,97.774
47, 0.23165, 1.26067,97.893
48, 0.22712, 1.25498,97.968
49, 0.22212, 1.24872,98.075
